,ï..Team,Signed,Avg.Age,Active.Cap,Dead.Cap,Total.Cap,Lux.Tax.Space,Cap.Space.,Practical.Cap.Space..,Coach.Tenure,OFFRTG,DEFRTG,Wins,Year,TOV.,ID,East,West
1,Atlanta Hawks,15,27.3,57245276,"$1,000,000 ",58328957,"$18,500,043*",4736043,4736043,2,108.2,102.2,60,2015,15,1,1,0
2,Boston Celtics,15,24.4,52905065,"$7,438,483 ",60403234,"$16,425,766*",2661766,2661766,2,103.8,103.5,40,2015,14.1,1,1,0
3,Brooklyn Nets,15,26.4,88024730,"$350,607 ",88429175,"($11,600,175)",-25364175,-25364175,1,103.3,106.3,38,2015,14.6,1,1,0
4,Charlotte Hornets,15,24.8,64710971,"$915,243 ",65680052,"$11,148,948*",-2615052,-2615052,2,99.5,103,33,2015,12.6,1,1,0
5,Chicago Bulls,14,27.8,67099204,"$333,333 ",67432537,"$9,396,463 ",-4367537,-4367537,5,106.3,103.3,50,2015,14.7,1,1,0
6,Cleveland Cavaliers,15,28.4,80811761,"$565,873 ",81377634,"($4,548,634)",-18312634,-18312634,1,110.1,105.3,53,2015,15.2,2,1,0
7,Dallas Mavericks,15,28.9,72183738,"$2,723,207 ",75014621,"$1,814,379 ",-11949621,-11949621,6,108.2,104.9,50,2015,13.3,2,1,0
8,Denver Nuggets,15,24.9,53359369,"$2,782,985 ",56142354,"$20,686,646*",6922646,6922646,0,103.8,107.1,30,2015,14.6,2,1,0
9,Detroit Pistons,15,26.7,49558917,"$14,097,726 ",63871995,"$12,957,005 ",-806995,-806995,1,104.3,105.4,32,2015,14.2,2,1,0
10,Golden State Warriors,15,26.4,71881167,"$644,240 ",72585093,"$4,243,907*",-9520093,-9520093,1,110.4,100.4,67,2015,14.5,2,1,0
11,Houston Rockets,15,26.7,71004520,"$3,045,729 ",74050249,"$2,778,751*",-10985249,-10985249,4,106,102.6,56,2015,17,3,1,0
12,Indiana Pacers,15,27.6,74798942,-,74798942,"$2,030,058*",-11733942,-11733942,5,102.9,102.7,38,2015,14.8,3,1,0
13,Los Angeles Clippers,15,28.3,77554797,"$2,666,743 ",80629773,"$-3,800,773*",-17564773,-17564773,2,111.5,104.7,56,2015,12.9,3,1,0
14,Los Angeles Lakers,16,25.8,59483328,"$10,783,000 ",70374042,"$6,454,958 ",-7309042,-7309042,1,102.2,109.4,21,2015,13.7,3,1,0
15,Memphis Grizzlies,15,27.1,73989079,"$657,723 ",74760326,"$2,068,674*",-11695326,-11695326,2,104.7,101.2,55,2015,14.2,3,1,0
16,Miami Heat,15,27.5,75084575,"$606,791 ",75966404,"$862,596 ",-12901404,-12901404,4,103.2,106.1,37,2015,16.1,4,1,0
17,Milwaukee Bucks,15,23.7,44560189,"$10,242,884 ",55114481,"$21,714,519 ",7950519,7950519,1,101.9,101.3,41,2015,17.4,4,1,0
18,Minnesota Timberwolves,16,25.1,64182806,"$3,459,307 ",67919790,"$8,909,210 ",-4854790,-4854790,1,101.8,110.9,16,2015,15.6,4,1,0
19,New Orleans Pelicans,14,25.4,68280315,"$1,821,872 ",70413595,"$6,415,405 ",-7348595,-7348595,5,107.1,106.3,45,2015,14.3,4,1,0
20,New York Knicks,15,25.5,54410045,"$25,848,489 ",80629628,"($3,800,628)",-17564628,-17564628,1,98.9,109,17,2015,15.8,4,1,0
21,Oklahoma City Thunder,15,25,77876390,"$915,243 ",78791633,"($1,962,633)",-15726633,-15726633,7,106.7,104.6,45,2015,15.1,5,1,0
22,Orlando Magic,15,24.7,41311716,"$14,705,259 ",58830518,"$20,812,025 ",4234482,7048025,0,101,106.8,25,2015,15.7,5,1,0
23,Philadelphia 76ers,16,23.7,34387296,"$22,416,388 ",63854302,"$19,905,944 ",-789302,6141944,1,94.8,103.9,18,2015,18.3,5,1,0
24,Phoenix Suns,15,25.5,55464385,"$4,509,503 ",60237268,"$16,591,732 ",2827732,2827732,2,104.2,105.3,39,2015,15.4,5,1,0
25,Portland Trail Blazers,15,26.5,72964755,"$30,000 ",72994755,"$3,834,245*",-9929755,-9929755,3,107.1,102.8,51,2015,14.2,5,1,0
26,Sacramento Kings,15,26.5,73061908,"$917,630 ",74176743,"$2,652,257*",-11111743,-11111743,0,104.5,108.2,29,2015,16.8,6,1,0
27,San Antonio Spurs,15,28.7,69028330,"$1,213,384 ",70379233,"$6,449,767*",-7314233,-7314233,16,107.6,101.3,55,2015,14.6,6,1,0
28,Toronto Raptors,15,25.7,75424914,"$671,609 ",76096523,"$732,477 ",-13031523,-13031523,4,110.2,107.1,49,2015,13.7,6,1,0
29,Utah Jazz,15,23.2,47940340,"$10,594,863 ",58905618,"$17,923,382 ",4159382,4159382,1,104.2,104.1,38,2015,16.8,6,1,0
30,Washington Wizards,15,28.3,72952787,"$400,000 ",73502681,"$3,326,319*",-10437681,-10437681,5,103,102.3,46,2015,15.7,6,1,0
31,Atlanta Hawks,15,27.6,71332945,"$75,000 ",71407945,"$13,332,055 ",-1407945,-1407945,3,104.6,100.7,48,2016,15.2,7,0,1
32,Boston Celtics,15,23.9,58250334,"$18,854,561 ",77166671,"$7,573,329 ",-7166671,-7166671,3,105.8,102.5,48,2016,13.8,7,0,1
33,Brooklyn Nets,15,24.7,51712738,"$28,580,247 ",80503847,"$4,236,153 ",-10503847,-10503847,0,102.3,109.7,21,2016,15.3,7,0,1
34,Charlotte Hornets,15,25.4,78340920,"$80,000 ",78532364,"$6,207,636*",-8532364,-8532364,3,106.4,103.7,48,2016,12.9,7,0,1
35,Chicago Bulls,17,26.7,88213269,"$333,333 ",88546602,"($3,806,602)",-18546602,-18546602,1,104,105.5,42,2016,14.2,7,0,1
36,Cleveland Cavaliers,15,28.9,106997506,-,107028394,"($22,288,394)",-37028394,-37028394,0,110.2,103.9,57,2016,14.3,8,0,1
37,Dallas Mavericks,15,29.2,71198732,"$1,898,129 ",73096861,"$11,643,139 ",-3096861,-3096861,7,105.5,105.9,42,2016,13.2,8,0,1
38,Denver Nuggets,15,25.1,60186706,"$11,100,853 ",71448753,"$13,291,247 ",-1448753,-1448753,1,104.9,108.2,33,2016,15.1,8,0,1
39,Detroit Pistons,14,25.9,66217330,"$9,225,207 ",75603690,"$9,136,310 ",-5603690,-5603690,2,105.2,104.9,44,2016,14,8,0,1
40,Golden State Warriors,15,26.9,88868997,"$6,908,685 ",95777682,"($11,139,899)",-25777682,-25777682,2,113.4,102.8,73,2016,15,8,0,1
41,Houston Rockets,15,26.2,75204953,"$13,182,493 ",88387446,"$-3,647,446*",-18387446,-18387446,0,107.3,107.3,41,2016,16.1,9,1,0
42,Indiana Pacers,15,25.5,66751826,"$5,606,178 ",72413726,"$12,326,274 ",-2413726,-2413726,6,103.8,102.2,45,2016,15.1,9,1,0
43,Los Angeles Clippers,15,28.9,94554340,"$1,412,964 ",96140524,"($11,400,524)",-26140524,-26140524,3,107.2,102.6,53,2016,13.3,9,1,0
44,Los Angeles Lakers,15,26.6,71770430,"$194,942 ",71965372,"$12,774,628 ",-1965372,-1965372,2,100.7,110.3,17,2016,14.2,9,1,0
45,Memphis Grizzlies,16,28,76017172,"$6,913,000 ",83382043,"$1,357,957*",-13382043,-13382043,3,104.7,107,42,2016,14,9,1,0
46,Miami Heat,15,28.1,82539172,"$2,080,465 ",84619637,"$110,429 ",-14619637,-14619637,5,105.4,103.7,48,2016,14.8,10,0,1
47,Milwaukee Bucks,15,23.9,68656240,"$1,865,546 ",70579512,"$14,160,488 ",-579512,-579512,2,103.3,107.8,33,2016,15.9,10,0,1
48,Minnesota Timberwolves,14,25.4,59841104,"$10,756,029 ",70652855,"$14,087,145*",-652855,-652855,0,105.4,109,29,2016,15.5,10,0,1
49,New Orleans Pelicans,18,26.2,80164538,"$994,597 ",81425760,"$3,314,240*",-11425760,-11425760,1,104.8,108.4,30,2016,13.7,10,0,1
50,New York Knicks,13,26.4,72920772,"$442,406 ",73449788,"$11,290,212*",-3449788,-3449788,0,103.9,106.6,32,2016,14.2,10,0,1
51,Oklahoma City Thunder,15,26.5,93765298,-,93765298,"($9,025,298)",-23765298,-23765298,1,112.1,104.8,55,2016,16.2,11,0,1
52,Orlando Magic,15,24.4,61108745,"$3,292,335 ",64462856,"$20,277,144 ",5537144,5537144,1,104.4,106,35,2016,14.4,11,0,1
53,Philadelphia 76ers,15,23.9,31052215,"$31,310,786 ",68798037,"$22,315,223 ",1201963,7575223,2,98.4,108.6,10,2016,16.5,11,0,1
54,Phoenix Suns,14,25.3,63389393,"$9,633,261 ",73443637,"$11,296,363 ",-3443637,-3443637,0,101.4,107.9,23,2016,17.3,11,0,1
55,Portland Trail Blazers,15,24.3,48301816,"$14,185,050 ",66562366,"$22,253,134 ",3437634,7513134,4,107.6,106.8,44,2016,15,11,0,1
56,Sacramento Kings,15,26.2,71733666,"$937,630 ",72671296,"$12,068,704 ",-2671296,-2671296,0,105.3,107.6,33,2016,16,12,1,0
57,San Antonio Spurs,15,31.2,85192733,"$2,402,263 ",87594996,"($2,854,996)",-17594996,-17594996,17,109.3,98.2,67,2016,13.8,12,1,0
58,Toronto Raptors,15,25.6,71217611,"$1,097,276 ",72314887,"$12,425,113 ",-2314887,-2314887,5,109.3,104.8,56,2016,13.9,12,1,0
59,Utah Jazz,15,23.7,63160091,"$1,527,476 ",64817873,"$19,922,127 ",5182127,5182127,2,105,103.2,40,2016,16,12,1,0
60,Washington Wizards,15,27.3,76328636,"$8,910,202 ",86186114,"$-1,446,114*",-16186114,-16186114,0,104.5,105.1,41,2016,14.5,12,1,0
61,Atlanta Hawks,15,27.9,92928845,#N/A,95563799,"$17,710,755 ",-1420799,-1420799,4,104.5,105.2,43,2017,16,13,0,1
62,Boston Celtics,15,25,91484921,#N/A,96212786,"$20,251,839 ",-2069786,1107839,4,110.6,108,53,2017,13.6,13,0,1
63,Brooklyn Nets,15,25.1,65405906,#N/A,83730005,"$29,533,862 ",10412995,10412995,1,103.6,110.1,20,2017,16.2,13,0,1
64,Charlotte Hornets,15,25.5,100201483,#N/A,102036240,"$11,218,834 ",-7893240,-7893240,4,108.4,108.4,36,2017,11.9,13,0,1
65,Chicago Bulls,15,25.5,92681038,#N/A,96998425,"$20,111,462 ",-2855425,967462,2,106.5,106.2,41,2017,14,13,0,1
66,Cleveland Cavaliers,15,29.4,125131982,#N/A,126590163,"($13,303,785)",-32447163,-32447163,1,112.8,109.7,51,2017,14,14,0,1
67,Dallas Mavericks,15,26.9,92128049,#N/A,104083711,"$7,507,593 ",-9940711,-9940711,8,104.7,107.7,33,2017,12.7,14,0,1
68,Denver Nuggets,15,25.5,78416141,#N/A,115066504,"$30,705,064 ",-20923504,11561064,2,112.1,111.7,40,2017,15,14,0,1
69,Detroit Pistons,15,25.3,102503259,#N/A,107901937,"$5,385,063 ",-13758937,-13758937,3,105.3,106.7,37,2017,12.3,14,0,1
70,Golden State Warriors,15,27.5,97520106,#N/A,100241842,"$13,031,467 ",-6098842,-6098842,3,114.8,103.4,67,2017,14.6,14,0,1
71,Houston Rockets,15,25.8,87526799,#N/A,109070494,"$21,794,155 ",-14927494,3174507,1,114.1,108.4,55,2017,15,15,0,1
72,Indiana Pacers,15,26.3,85614337,#N/A,94002004,"$19,284,996 ",140996,140996,1,107.9,108,42,2017,14.1,15,0,1
73,Los Angeles Clippers,15,29.4,113657568,#N/A,115070532,"$-2,220,492*",-20927532,-20927532,4,111.8,107.5,51,2017,13.3,15,0,1
74,Los Angeles Lakers,15,25.2,85639596,#N/A,94204120,"$19,082,880 ",-61120,-61120,1,105.3,112,26,2017,15.3,15,0,1
75,Memphis Grizzlies,15,26.9,108352164,#N/A,110869863,"$2,417,137*",-16726863,-16726863,1,107,106.5,43,2017,13.7,15,0,1
76,Miami Heat,15,26.9,96523509,#N/A,101820405,"$11,440,892 ",-7677405,-7677405,6,107.4,106.4,41,2017,14,16,1,0
77,Milwaukee Bucks,15,25.2,89531619,#N/A,92676330,"$20,604,447*",1466670,1466670,3,108.5,108.7,42,2017,14.6,16,1,0
78,Minnesota Timberwolves,14,24.7,59494555,#N/A,71566819,"$43,681,043 ",22576181,24537043,1,110,110.9,31,2017,14.6,16,1,0
79,New Orleans Pelicans,15,25.8,94322677,#N/A,101417816,"$11,866,073 ",-7274816,-7274816,2,104.6,106.7,34,2017,12.9,16,1,0
80,New York Knicks,14,26.1,79595502,#N/A,102613433,"$9,799,647 ",-8470433,-8470433,1,107.1,110.7,31,2017,14.3,16,1,0
81,Oklahoma City Thunder,15,25.3,86981364,#N/A,104748520,"$21,510,091 ",-10605520,2803051,2,107.9,107,47,2017,15.2,17,1,0
82,Orlando Magic,15,25,102595191,#N/A,104294550,"$9,078,555 ",-10151550,-10151550,1,103.7,110.3,29,2017,13.7,17,1,0
83,Philadelphia 76ers,16,23.9,61656754,#N/A,92300991,"$27,184,034 ",1842009,8325751,3,102.7,108.2,28,2017,16.7,17,1,0
84,Phoenix Suns,15,24.9,72521524,#N/A,85055253,"$28,231,747 ",9087747,9087747,1,106.1,111.3,24,2017,15.2,17,1,0
85,Portland Trail Blazers,15,24.1,110932233,#N/A,112916238,"($66,198)",-18773238,-18773238,5,109.4,110,41,2017,13.9,17,1,0
86,Sacramento Kings,15,25.5,87859206,#N/A,95667032,"$17,619,968 ",-1524032,-1524032,1,106.5,110.7,32,2017,15.2,18,0,1
87,San Antonio Spurs,15,28.8,104866760,#N/A,108372141,"$4,477,899 ",-14229141,-14229141,18,110.3,102.8,61,2017,14.1,18,0,1
88,Toronto Raptors,15,25.1,108443469,#N/A,108649969,"$4,637,031 ",-14506969,-14506969,6,111.4,107.1,51,2017,13.2,18,0,1
89,Utah Jazz,15,25.9,80223192,#N/A,80498192,"$32,788,808 ",13644808,13644808,3,108.9,104.6,51,2017,14.7,18,0,1
90,Washington Wizards,15,25.1,100785911,#N/A,102337716,"$10,075,364 ",-8194716,-8194716,1,110.4,108.7,49,2017,14.3,18,0,1
91,Atlanta Hawks,16,24.7,63604901,"$41,007,250 ",104925180,"$18,807,820 ",-3056180,-3056180,0,107.4,112.9,29,2019,15.7,19,0,1
92,Boston Celtics,14,25.4,125309646,"$92,857 ",125487961,"($1,754,961)",-23618961,-23618961,6,111.3,106.9,48,2019,14.4,19,0,1
93,Brooklyn Nets,14,25.1,77800983,"$39,671,158 ",117566883,"$6,166,117 ",-15697883,-15697883,3,108.9,109.3,40,2019,15.1,19,0,1
94,Charlotte Hornets,15,26,121810182,0,121810182,"$1,922,818*",-19941182,-19941182,0,110.2,111.9,37,2019,12.8,19,0,1
95,Chicago Bulls,16,24.1,93095580,"$18,918,504 ",112014084,"$11,718,916 ",-10145084,-10145084,0,104.5,112.7,22,2019,14,19,0,1
96,Cleveland Cavaliers,15,26,122179119,"$1,273,529 ",123699800,"$33,200 ",-21830800,-21830800,0,107,116.6,19,2019,13.9,20,1,0
97,Dallas Mavericks,15,27.8,73673600,"$14,086,460 ",87760060,"$35,972,940 ",14108940,14108940,10,108.6,110.1,31,2019,12.6,20,1,0
98,Denver Nuggets,15,24.4,116956505,"$346,070 ",117302575,"$6,267,207 ",-15433575,-15433575,4,112.3,107.9,53,2019,15.1,20,1,0
99,Detroit Pistons,15,26.7,116292254,"$7,189,209 ",123481463,"$251,537*",-21612463,-21612463,0,108.2,108.8,39,2019,13.8,20,1,0
100,Golden State Warriors,15,27.7,144354753,"$945,126 ",145299879,"($21,566,879)",-43430879,-43430879,5,114.9,108.5,55,2019,15.3,20,1,0
101,Houston Rockets,15,27.1,122394108,"$722,878 ",123411509,"$321,491 ",-21542509,-21542509,3,114.5,110.1,52,2019,14,21,0,1
102,Indiana Pacers,15,25.9,99581987,"$10,950,104 ",110579462,"$13,153,538 ",-8710462,-8710462,3,109.2,105.6,47,2019,13.6,21,0,1
103,Los Angeles Clippers,14,26.3,86000111,"$30,930,896 ",117025749,"$6,707,251*",-15156749,-15156749,6,111.4,110.1,47,2019,14.7,21,0,1
104,Los Angeles Lakers,15,25.7,90827159,"$14,354,067 ",105333698,"$18,399,302 ",-3464698,-3464698,3,107.3,108.9,36,2019,15.5,21,0,1
105,Memphis Grizzlies,15,26.1,118240816,"$2,200,952 ",122836315,"$896,685*",-20967315,-20967315,3,105.1,107.8,32,2019,15.6,21,0,1
106,Miami Heat,14,27.7,124606302,"$350,088 ",125032626,"($1,299,626)",-23163626,-23163626,8,106.9,107.2,38,2019,14.7,22,1,0
107,Milwaukee Bucks,15,27,114755757,"$7,327,105 ",122168320,"$1,564,680*",-20299320,-20299320,0,113.7,104.8,59,2019,14.1,22,1,0
108,Minnesota Timberwolves,16,26.6,117419083,"$2,701,278 ",120338648,"$3,394,352*",-18469648,-18469648,3,110.7,112,36,2019,12.8,22,1,0
109,New Orleans Pelicans,15,24.8,98806475,"$15,721,784 ",114528259,"$9,204,741*",-12659259,-12659259,4,110.6,111.9,32,2019,14.5,22,1,0
110,New York Knicks,15,23.1,62374396,"$60,319,426 ",122779280,"$953,720*",-20910280,-20910280,0,104,113,15,2019,15,22,1,0
111,Oklahoma City Thunder,14,26,138162052,"$4,574,383 ",142869264,"($19,136,264)",-41000264,-41000264,4,109.4,106.1,46,2019,14.3,23,1,0
112,Orlando Magic,15,24.7,112686749,"$1,813,371 ",114671036,"$9,061,964 ",-12802036,-12802036,0,107.8,107.4,40,2019,14.7,23,1,0
113,Philadelphia 76ers,15,26.6,107554205,"$4,236,960 ",111962081,"$11,770,919 ",-10093081,-10093081,5,111.5,108.8,50,2019,16.3,23,1,0
114,Phoenix Suns,15,23.7,68854080,"$39,334,055 ",108453793,"$15,279,207 ",-6584793,-6584793,1,105.3,113.9,19,2019,15.5,23,1,0
115,Portland Trail Blazers,15,24.7,128504910,"$5,091,108 ",133596018,"($9,863,018)",-31727018,-31727018,7,113.5,109.4,50,2019,13.9,23,1,0
116,Sacramento Kings,15,24.7,92249525,"$11,656,113 ",104038467,"$19,694,533 ",-2169467,-2169467,3,109.2,110.3,39,2019,14.3,24,0,1
117,San Antonio Spurs,15,26.9,102296083,"$20,306,394 ",122602477,"$1,130,523*",-20733477,-20733477,20,112.2,110.9,46,2019,13.7,24,0,1
118,Toronto Raptors,15,27,135316573,"$1,800,000 ",137202031,"($13,469,031)",-35333031,-35333031,0,112.5,107,56,2019,13.5,24,0,1
119,Utah Jazz,15,26.8,113394016,0,113394016,"$10,338,984 ",-11525016,-11525016,5,110,104.8,49,2019,15.1,24,0,1
120,Washington Wizards,14,26.6,121912382,"$1,391,145 ",123474443,"$258,557 ",-21605443,-21605443,3,110.2,112.8,32,2019,14.8,24,0,1
121,Atlanta Hawks,16,24.7,63604901,"$41,007,250 ",104925180,"$18,807,820 ",-3056180,-3056180,0,107.4,112.9,29,2019,16.2,25,0,1
122,Boston Celtics,14,25.4,125309646,"$92,857 ",125487961,"($1,754,961)",-23618961,-23618961,6,111.3,106.9,48,2019,12.7,25,0,1
123,Brooklyn Nets,14,25.1,77800983,"$39,671,158 ",117566883,"$6,166,117 ",-15697883,-15697883,3,108.9,109.3,40,2019,14.6,25,0,1
124,Charlotte Hornets,15,26,121810182,0,121810182,"$1,922,818*",-19941182,-19941182,0,110.2,111.9,37,2019,12.2,25,0,1
125,Chicago Bulls,16,24.1,93095580,"$18,918,504 ",112014084,"$11,718,916 ",-10145084,-10145084,0,104.5,112.7,22,2019,14.1,25,0,1
126,Cleveland Cavaliers,15,26,122179119,"$1,273,529 ",123699800,"$33,200 ",-21830800,-21830800,0,107,116.6,19,2019,13.8,26,0,1
127,Dallas Mavericks,15,27.8,73673600,"$14,086,460 ",87760060,"$35,972,940 ",14108940,14108940,10,108.6,110.1,31,2019,14.2,26,0,1
128,Denver Nuggets,15,24.4,116956505,"$346,070 ",117302575,"$6,267,207 ",-15433575,-15433575,4,112.3,107.9,53,2019,13.6,26,0,1
129,Detroit Pistons,15,26.7,116292254,"$7,189,209 ",123481463,"$251,537*",-21612463,-21612463,0,108.2,108.8,39,2019,14,26,0,1
130,Golden State Warriors,15,27.7,144354753,"$945,126 ",145299879,"($21,566,879)",-43430879,-43430879,5,114.9,108.5,55,2019,13.9,26,0,1
131,Houston Rockets,15,27.1,122394108,"$722,878 ",123411509,"$321,491 ",-21542509,-21542509,3,114.5,110.1,52,2019,13.4,27,0,1
132,Indiana Pacers,15,25.9,99581987,"$10,950,104 ",110579462,"$13,153,538 ",-8710462,-8710462,3,109.2,105.6,47,2019,13.8,27,0,1
133,Los Angeles Clippers,14,26.3,86000111,"$30,930,896 ",117025749,"$6,707,251*",-15156749,-15156749,6,111.4,110.1,47,2019,14.1,27,0,1
134,Los Angeles Lakers,15,25.7,90827159,"$14,354,067 ",105333698,"$18,399,302 ",-3464698,-3464698,3,107.3,108.9,36,2019,15,27,0,1
135,Memphis Grizzlies,15,26.1,118240816,"$2,200,952 ",122836315,"$896,685*",-20967315,-20967315,3,105.1,107.8,32,2019,14.3,27,0,1
136,Miami Heat,14,27.7,124606302,"$350,088 ",125032626,"($1,299,626)",-23163626,-23163626,8,106.9,107.2,38,2019,14.9,28,1,0
137,Milwaukee Bucks,15,27,114755757,"$7,327,105 ",122168320,"$1,564,680*",-20299320,-20299320,0,113.7,104.8,59,2019,13.3,28,1,0
138,Minnesota Timberwolves,16,26.6,117419083,"$2,701,278 ",120338648,"$3,394,352*",-18469648,-18469648,3,110.7,112,36,2019,12.9,28,1,0
139,New Orleans Pelicans,15,24.8,98806475,"$15,721,784 ",114528259,"$9,204,741*",-12659259,-12659259,4,110.6,111.9,32,2019,14.2,28,1,0
140,New York Knicks,15,23.1,62374396,"$60,319,426 ",122779280,"$953,720*",-20910280,-20910280,0,104,113,15,2019,14,28,1,0
141,Oklahoma City Thunder,14,26,138162052,"$4,574,383 ",142869264,"($19,136,264)",-41000264,-41000264,4,109.4,106.1,46,2019,13.4,29,0,1
142,Orlando Magic,15,24.7,112686749,"$1,813,371 ",114671036,"$9,061,964 ",-12802036,-12802036,0,107.8,107.4,40,2019,13.3,29,0,1
143,Philadelphia 76ers,15,26.6,107554205,"$4,236,960 ",111962081,"$11,770,919 ",-10093081,-10093081,5,111.5,108.8,50,2019,14.4,29,0,1
144,Phoenix Suns,15,23.7,68854080,"$39,334,055 ",108453793,"$15,279,207 ",-6584793,-6584793,1,105.3,113.9,19,2019,15.3,29,0,1
145,Portland Trail Blazers,15,24.7,128504910,"$5,091,108 ",133596018,"($9,863,018)",-31727018,-31727018,7,113.5,109.4,50,2019,13.7,29,0,1
146,Sacramento Kings,15,24.7,92249525,"$11,656,113 ",104038467,"$19,694,533 ",-2169467,-2169467,3,109.2,110.3,39,2019,12.8,30,1,0
147,San Antonio Spurs,15,26.9,102296083,"$20,306,394 ",122602477,"$1,130,523*",-20733477,-20733477,20,112.2,110.9,46,2019,12.2,30,1,0
148,Toronto Raptors,15,27,135316573,"$1,800,000 ",137202031,"($13,469,031)",-35333031,-35333031,0,112.5,107,56,2019,13.8,30,1,0
149,Utah Jazz,15,26.8,113394016,0,113394016,"$10,338,984 ",-11525016,-11525016,5,110,104.8,49,2019,14.9,30,1,0
150,Washington Wizards,14,26.6,121912382,"$1,391,145 ",123474443,"$258,557 ",-21605443,-21605443,3,110.2,112.8,32,2019,13.6,30,1,0
